ingredient_name,aliases,allergen_category,source,plain_explanation,verified
yellow mustard flour,yellow-mustard-flour | yellowmustardflour,mustard,allergies_10k.csv,Label phrase associated with mustard allergy risk in food-ingredient datasets.,false
"protein blend (soy protein isolate, whey protein concentrate, milk protein isolate, whey protein isolate)",protein blend | soy protein isolate | whey protein concentrate | milk protein isolate | whey protein isolate | protein blend soy protein isolate whey protein concentrate milk protein isolate whey protein isolate,soy,allergies_10k.csv,Label phrase associated with soy allergy risk in food-ingredient datasets.,false
sulfur dioxide to maintain color,sulfur-dioxide-to-maintain-color | sulfurdioxidetomaintaincolor,sulphites,allergies_10k.csv,Label phrase associated with sulphites allergy risk in food-ingredient datasets.,false
"cream cheese (cultured milk and cream, salt, carob bean gum)",cream cheese | cultured milk | cream | carob bean gum | cream cheese cultured milk and cream salt carob bean gum,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"buttermilk flavor (maltodextrin, natural flavor)",buttermilk flavor | maltodextrin | natural flavor | buttermilk flavor maltodextrin natural flavor,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"coating (coconut oil, maltitol, cocoa powder, unsweetened chocolate, whey powder, soybean oil, cocoa powder processed with alkali, soy lecithin, artificial flavor)",coating | coconut oil | maltitol | cocoa powder | unsweetened chocolate | whey powder | soybean oil | cocoa powder processed | coating coconut oil maltitol cocoa powder unsweetened chocolate whey powder soybean oil cocoa powder processed with alkali soy lecithin artificial flavor,soy,allergies_10k.csv,Label phrase associated with soy allergy risk in food-ingredient datasets.,false
"ranch dressing (canola oil, nonfat buttermilk [whey, water, skim milk powder, corn starch, tapioca starch, carrageenan, locust bean gum, culture], water, maltodextrin, white wine v",ranch dressing | canola oil | nonfat buttermilk | whey | skim milk powder | corn starch | tapioca starch | carrageenan | ranch dressing canola oil nonfat buttermilk whey water skim milk powder corn starch tapioca starch carrageenan locust bean gum culture water maltodextrin white wine v,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
english walnuts,english-walnuts | englishwalnuts,tree_nuts,allergies_10k.csv,Label phrase associated with tree nuts allergy risk in food-ingredient datasets.,false
"vegetable oil ([palm, soybean and/or cottonseed oils], citric acid [preservative])",vegetable oil | palm | soybean and | or cottonseed oils | citric acid | preservative | vegetable oil palm soybean and or cottonseed oils citric acid preservative,soy,allergies_10k.csv,Label phrase associated with soy allergy risk in food-ingredient datasets.,false
"blue cheese chunks (water, blue cheese [cultured pasteurized milk, salt, enzymes], palm oil, sodium and calcium caseinates, salt, lactic acid, cellulose gum, sodium phosphates, pot",blue cheese chunks | blue cheese | cultured pasteurized milk | enzymes | palm oil | sodium | calcium caseinates | lactic acid | blue cheese chunks water blue cheese cultured pasteurized milk salt enzymes palm oil sodium and calcium caseinates salt lactic acid cellulose gum sodium phosphates pot,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"contains 2% or less of the following: honey powder (honey, high fructose corn syrup, wheat starch, corn syrup)",honey | high fructose corn syrup | wheat starch | corn syrup | contains 2 or less of the following honey powder honey high fructose corn syrup wheat starch corn syrup,wheat,allergies_10k.csv,Label phrase associated with wheat allergy risk in food-ingredient datasets.,false
"protein blend (water, nonfat milk, whey protein concentrate, soy protein isolate)",protein blend | nonfat milk | whey protein concentrate | soy protein isolate | protein blend water nonfat milk whey protein concentrate soy protein isolate,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"chocolate chips (cane sugar, chocolate liquor, cocoa butter, sunflower lecitin (an emulsifier), vanilla extract)",chocolate chips | cane sugar | chocolate liquor | cocoa butter | sunflower lecitin | an emulsifier | vanilla extract | chocolate chips cane sugar chocolate liquor cocoa butter sunflower lecitin an emulsifier vanilla extract,tree_nuts,allergies_10k.csv,Label phrase associated with tree nuts allergy risk in food-ingredient datasets.,false
"sour cream solids (sour cream [cream, cultures, lactic acid], cultured nonfat dry milk solids, citric acid)",sour cream solids | sour cream | cream | cultures | lactic acid | cultured nonfat dry milk solids | citric acid | sour cream solids sour cream cream cultures lactic acid cultured nonfat dry milk solids citric acid,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"enriched flour (wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid)",enriched flour | wheat flour | niacin | reduced iron | thiamin mononitrate | riboflavin | folic acid | enriched flour wheat flour niacin reduced iron thiamin mononitrate riboflavin folic acid,wheat,allergies_10k.csv,Label phrase associated with wheat allergy risk in food-ingredient datasets.,false
"enriched flour (wheat flour, enzyme, niacin, reduced iron, thamin mononitrate (vitamin b1), riboflavin (vitamin b2), folic acid)",enriched flour | wheat flour | enzyme | niacin | reduced iron | thamin mononitrate | vitamin b1 | riboflavin | enriched flour wheat flour enzyme niacin reduced iron thamin mononitrate vitamin b1 riboflavin vitamin b2 folic acid,wheat,allergies_10k.csv,Label phrase associated with wheat allergy risk in food-ingredient datasets.,false
oyster juice,oyster-juice | oysterjuice,fish,allergies_10k.csv,Label phrase associated with fish allergy risk in food-ingredient datasets.,false
frozen almond mix: water,frozen almond mix water,tree_nuts,allergies_10k.csv,Label phrase associated with tree nuts allergy risk in food-ingredient datasets.,false
"milk chocolate (sugar, cocoa butter, unsweetened chocolate, nonfat dry milk, milkfat, soy lecithin [emulsifier], polyglycerol polyricinoleate [emulsifier], vanillin [artificial fla",milk chocolate | cocoa butter | unsweetened chocolate | nonfat dry milk | milkfat | soy lecithin | emulsifier | polyglycerol polyricinoleate | milk chocolate sugar cocoa butter unsweetened chocolate nonfat dry milk milkfat soy lecithin emulsifier polyglycerol polyricinoleate emulsifier vanillin artificial fla,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
contains less than 2% of: pecan pieces,contains less than 2 of pecan pieces,tree_nuts,allergies_10k.csv,Label phrase associated with tree nuts allergy risk in food-ingredient datasets.,false
"non-gmo rice milk (filtered water, brown rice [partially milled], expeller pressed canola oil and/or safflower oil and/or sunflower oil, tricalcium phosphate, sea salt, vitamin a p",non-gmo rice milk | filtered water | brown rice | partially milled | expeller pressed canola oil and | or safflower oil and | or sunflower oil | tricalcium phosphate | non gmo rice milk filtered water brown rice partially milled expeller pressed canola oil and or safflower oil and or sunflower oil tricalcium phosphate sea salt vitamin a p,soy,allergies_10k.csv,Label phrase associated with soy allergy risk in food-ingredient datasets.,false
"wafers (wheat flour, sugar, caramel color, dextrose, palm oil, corn flour, contains 2% or less of corn syrup, cocoa processed with alkali, food starch-modified, salt, soy lecithin,",wafers | wheat flour | caramel color | dextrose | palm oil | corn flour | cocoa processed | alkali | wafers wheat flour sugar caramel color dextrose palm oil corn flour contains 2 or less of corn syrup cocoa processed with alkali food starch modified salt soy lecithin,wheat,allergies_10k.csv,Label phrase associated with wheat allergy risk in food-ingredient datasets.,false
"vegetable shortening (palm oil, soybean oil, canola oil, vitamin e [added as an antioxidant])",vegetable shortening | palm oil | soybean oil | canola oil | vitamin e | added as an antioxidant | vegetable shortening palm oil soybean oil canola oil vitamin e added as an antioxidant,soy,allergies_10k.csv,Label phrase associated with soy allergy risk in food-ingredient datasets.,false
"vegetable stock (water, onions, cabbage, celery, mushrooms, carrots, turnips, black peppercorns, mustard seed, dill weed, thyme, bay leaves, marjoram)",vegetable stock | onions | cabbage | celery | mushrooms | carrots | turnips | black peppercorns | vegetable stock water onions cabbage celery mushrooms carrots turnips black peppercorns mustard seed dill weed thyme bay leaves marjoram,celery,allergies_10k.csv,Label phrase associated with celery allergy risk in food-ingredient datasets.,false
butter flavour,butter-flavour | butterflavour,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
whey permeate powder,whey-permeate-powder | wheypermeatepowder,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"chicken broth (water, chicken bones, tomato, onion, carrots, celery, dehydrated chicken stock [chicken stock, sea salt, sugar chicken fat, onion powder, natural flavor, carrot juic",chicken broth | chicken bones | tomato | onion | carrots | celery | dehydrated chicken stock | chicken stock | chicken broth water chicken bones tomato onion carrots celery dehydrated chicken stock chicken stock sea salt sugar chicken fat onion powder natural flavor carrot juic,celery,allergies_10k.csv,Label phrase associated with celery allergy risk in food-ingredient datasets.,false
"crust (enriched flour [wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid], water, yeast, sugar, soybean oil, natural flavor [contains milk])",crust | enriched flour | wheat flour | niacin | reduced iron | thiamine mononitrate | riboflavin | folic acid | crust enriched flour wheat flour niacin reduced iron thiamine mononitrate riboflavin folic acid water yeast sugar soybean oil natural flavor contains milk,wheat,allergies_10k.csv,Label phrase associated with wheat allergy risk in food-ingredient datasets.,false
contains 2% or less of each of the following: vegetable oil (soybean and/or cottonseed oils),soybean and | or cottonseed oils | contains 2 or less of each of the following vegetable oil soybean and or cottonseed oils,soy,allergies_10k.csv,Label phrase associated with soy allergy risk in food-ingredient datasets.,false
"roasted almonds (almonds, cottonseed oil)",roasted almonds | almonds | cottonseed oil | roasted almonds almonds cottonseed oil,tree_nuts,allergies_10k.csv,Label phrase associated with tree nuts allergy risk in food-ingredient datasets.,false
"milk derived protein blend (milk protein isolate, whey protein isolate, whey protein concentrate)",milk derived protein blend | milk protein isolate | whey protein isolate | whey protein concentrate | milk derived protein blend milk protein isolate whey protein isolate whey protein concentrate,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"aged parmesan cheese (part skim milk, cheese cultures, salt & non-animal rennet)",aged parmesan cheese | part skim milk | cheese cultures | salt & non-animal rennet | aged parmesan cheese part skim milk cheese cultures salt non animal rennet,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
spices (including mustard and celery seed),spices | including mustard | celery seed | spices including mustard and celery seed,celery,allergies_10k.csv,Label phrase associated with celery allergy risk in food-ingredient datasets.,false
mahi mahi,mahi-mahi | mahimahi,fish,allergies_10k.csv,Label phrase associated with fish allergy risk in food-ingredient datasets.,false
confectionery glaze (shellac),confectionery glaze | shellac | confectionery glaze shellac,shellfish,allergies_10k.csv,Label phrase associated with shellfish allergy risk in food-ingredient datasets.,false
"chocolate flavored flakes (sugar, coconut oil, cocoa powder processed with alkali, cocoa powder, salt, soy lecithin, natural flavor)",chocolate flavored flakes | coconut oil | cocoa powder processed | alkali | cocoa powder | soy lecithin | natural flavor | chocolate flavored flakes sugar coconut oil cocoa powder processed with alkali cocoa powder salt soy lecithin natural flavor,soy,allergies_10k.csv,Label phrase associated with soy allergy risk in food-ingredient datasets.,false
"dough conditioner blend (wheat flour, malted barley flour, enzymes, ascorbic acid)",dough conditioner blend | wheat flour | malted barley flour | enzymes | ascorbic acid | dough conditioner blend wheat flour malted barley flour enzymes ascorbic acid,wheat,allergies_10k.csv,Label phrase associated with wheat allergy risk in food-ingredient datasets.,false
"parmesan cheese (pasteurized milk, cheese cultures, salt, enzymes, calcium chloride, powdered cellulose to prevent caking, sorbic acid to maintain freshness)",parmesan cheese | pasteurized milk | cheese cultures | enzymes | calcium chloride | powdered cellulose to prevent caking | sorbic acid to maintain freshness | parmesan cheese pasteurized milk cheese cultures salt enzymes calcium chloride powdered cellulose to prevent caking sorbic acid to maintain freshness,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"encapsulated salt (fully hydrogenated vegetable oil [contains one or more of the following hydrogenated oils: soybean oil, palm oil, cottonseed oil, coconut oil])",encapsulated salt | fully hydrogenated vegetable oil | palm oil | cottonseed oil | coconut oil | encapsulated salt fully hydrogenated vegetable oil contains one or more of the following hydrogenated oils soybean oil palm oil cottonseed oil coconut oil,soy,allergies_10k.csv,Label phrase associated with soy allergy risk in food-ingredient datasets.,false
"swiss emmental & gruyere cheese 50% (cow's milk, cheese cultures, salt and enzyme)",swiss emmental & gruyere cheese 50% | cow's milk | cheese cultures | enzyme | swiss emmental gruyere cheese 50 cow s milk cheese cultures salt and enzyme,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"peanut butter (roasted peanuts, corn syrup solids, sugar, palm oil, salt)",peanut butter | roasted peanuts | corn syrup solids | palm oil | peanut butter roasted peanuts corn syrup solids sugar palm oil salt,peanut,allergies_10k.csv,Label phrase associated with peanut allergy risk in food-ingredient datasets.,false
reese's peanut butter sauce [peanuts,reese's peanut butter sauce | peanuts | reese s peanut butter sauce peanuts,peanut,allergies_10k.csv,Label phrase associated with peanut allergy risk in food-ingredient datasets.,false
"soy sauce (water, soybeans, wheat, salt, alcohol1 [preservative])",soy sauce | soybeans | wheat | alcohol1 | preservative | soy sauce water soybeans wheat salt alcohol1 preservative,soy,allergies_10k.csv,Label phrase associated with soy allergy risk in food-ingredient datasets.,false
"crust (whole oat flour, enriched bleached flour [wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid], canola oil, whole wheat flour, invert sugar, solu",crust | whole oat flour | enriched bleached flour | wheat flour | niacin | reduced iron | thiamine mononitrate | riboflavin | crust whole oat flour enriched bleached flour wheat flour niacin reduced iron thiamine mononitrate riboflavin folic acid canola oil whole wheat flour invert sugar solu,wheat,allergies_10k.csv,Label phrase associated with wheat allergy risk in food-ingredient datasets.,false
"roasted almonds (almonds, canola and/or safflower oil)",roasted almonds | almonds | canola and | or safflower oil | roasted almonds almonds canola and or safflower oil,tree_nuts,allergies_10k.csv,Label phrase associated with tree nuts allergy risk in food-ingredient datasets.,false
"carrot cake (sugar, enriched wheat flour bleached [flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid], soybean oil, dextrose, carrots, food starch-modified,",carrot cake | enriched wheat flour bleached | flour | niacin | reduced iron | thiamine mononitrate | riboflavin | folic acid | carrot cake sugar enriched wheat flour bleached flour niacin reduced iron thiamine mononitrate riboflavin folic acid soybean oil dextrose carrots food starch modified,wheat,allergies_10k.csv,Label phrase associated with wheat allergy risk in food-ingredient datasets.,false
"chicken fat powder (chicken fat, nonfat milk, natural flavor)",chicken fat powder | chicken fat | nonfat milk | natural flavor | chicken fat powder chicken fat nonfat milk natural flavor,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"ingredients: bittersweet chocolate (chocolate liquor, sugar, cocoa butter, soy lecithin, vanilla)",ingredients: bittersweet chocolate | chocolate liquor | cocoa butter | soy lecithin | vanilla | ingredients bittersweet chocolate chocolate liquor sugar cocoa butter soy lecithin vanilla,soy,allergies_10k.csv,Label phrase associated with soy allergy risk in food-ingredient datasets.,false
"vanilla cookies (wheat flour, sugar, palm oil, salt, soy lecithin, natural and artificial flavors, baking soda)",vanilla cookies | wheat flour | palm oil | soy lecithin | artificial flavors | baking soda | vanilla cookies wheat flour sugar palm oil salt soy lecithin natural and artificial flavors baking soda,wheat,allergies_10k.csv,Label phrase associated with wheat allergy risk in food-ingredient datasets.,false
"dijon mustard (distilled vinegar, water, mustard seed, salt, white wine, citric acid, turmeric [color], spices, tartaric acid)",dijon mustard | distilled vinegar | mustard seed | white wine | citric acid | turmeric | color | spices | dijon mustard distilled vinegar water mustard seed salt white wine citric acid turmeric color spices tartaric acid,mustard,allergies_10k.csv,Label phrase associated with mustard allergy risk in food-ingredient datasets.,false
"dark sweet chocolate (sugar, chocolate, cocoa butter, soy lecithin, natural vanilla extract)",dark sweet chocolate | chocolate | cocoa butter | soy lecithin | natural vanilla extract | dark sweet chocolate sugar chocolate cocoa butter soy lecithin natural vanilla extract,soy,allergies_10k.csv,Label phrase associated with soy allergy risk in food-ingredient datasets.,false
"seasoning (a blend of maltodextrin, salt, chili pepper and other spices, onion, modified food starch, yellow corn flour, less than 2%: silicon dioxide added to prevent caking, soyb",seasoning | a blend of maltodextrin | chili pepper | other spices | onion | modified food starch | yellow corn flour | soyb | seasoning a blend of maltodextrin salt chili pepper and other spices onion modified food starch yellow corn flour less than 2 silicon dioxide added to prevent caking soyb,soy,allergies_10k.csv,Label phrase associated with soy allergy risk in food-ingredient datasets.,false
"parmesan cheese (cultured part-skim milk, salt, and enzymes)",parmesan cheese | cultured part-skim milk | enzymes | parmesan cheese cultured part skim milk salt and enzymes,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"organic spices (including organic paprika, organic mustard)",organic spices | including organic paprika | organic mustard | organic spices including organic paprika organic mustard,mustard,allergies_10k.csv,Label phrase associated with mustard allergy risk in food-ingredient datasets.,false
"cashews (cashews, sunflower oil)",cashews | sunflower oil | cashews cashews sunflower oil,tree_nuts,allergies_10k.csv,Label phrase associated with tree nuts allergy risk in food-ingredient datasets.,false
"candied oranges (oranges, glucose and fructose syrup, sugar, citric acid) and dark chocolate (sugar, cocoa mass (56% min.), cocoa butter, emulsifier: soy lecithin, vanilla)",candied oranges | oranges | glucose | fructose syrup | citric acid | dark chocolate | cocoa mass | 56% min. | candied oranges oranges glucose and fructose syrup sugar citric acid and dark chocolate sugar cocoa mass 56 min cocoa butter emulsifier soy lecithin vanilla,soy,allergies_10k.csv,Label phrase associated with soy allergy risk in food-ingredient datasets.,false
"vegetable oil (palm and palm kernel oil with sorbitan tristearate, soybean and palm oil with tbhq for freshness)",vegetable oil | palm | palm kernel oil | sorbitan tristearate | soybean | palm oil | tbhq for freshness | vegetable oil palm and palm kernel oil with sorbitan tristearate soybean and palm oil with tbhq for freshness,soy,allergies_10k.csv,Label phrase associated with soy allergy risk in food-ingredient datasets.,false
"enriched flour(wheat flour, malted barley flour, niacin, iron, thiamin mononitrate riboflavin, folic acid)",enriched flour | wheat flour | malted barley flour | niacin | iron | thiamin mononitrate riboflavin | folic acid | enriched flour wheat flour malted barley flour niacin iron thiamin mononitrate riboflavin folic acid,wheat,allergies_10k.csv,Label phrase associated with wheat allergy risk in food-ingredient datasets.,false
"crust (enriched wheat flour [wheat flour, ferrous sulfate, niacin, thiamin mononitrate, riboflavin, folic acid, enzyme], water, soybean oil, contains 2% or less of: yeast, sugar, c",crust | enriched wheat flour | wheat flour | ferrous sulfate | niacin | thiamin mononitrate | riboflavin | folic acid | crust enriched wheat flour wheat flour ferrous sulfate niacin thiamin mononitrate riboflavin folic acid enzyme water soybean oil contains 2 or less of yeast sugar c,wheat,allergies_10k.csv,Label phrase associated with wheat allergy risk in food-ingredient datasets.,false
"contains 2% or less of textured vegetable protein (soy flour, caramel color)",soy flour | caramel color | contains 2 or less of textured vegetable protein soy flour caramel color,soy,allergies_10k.csv,Label phrase associated with soy allergy risk in food-ingredient datasets.,false
hazelnutsa,,tree_nuts,allergies_10k.csv,Label phrase associated with tree nuts allergy risk in food-ingredient datasets.,false
"and cheddar cheese (milk, cheese cultures, salt, enzymes)",and cheddar cheese | milk | cheese cultures | enzymes | and cheddar cheese milk cheese cultures salt enzymes,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"enriched flour (wheat flour, niacin, iron [ferrous sulfate], thiamine mononitrate, riboflavin, folic acid)",enriched flour | wheat flour | niacin | iron | ferrous sulfate | thiamine mononitrate | riboflavin | folic acid | enriched flour wheat flour niacin iron ferrous sulfate thiamine mononitrate riboflavin folic acid,wheat,allergies_10k.csv,Label phrase associated with wheat allergy risk in food-ingredient datasets.,false
whole and chopped peanuts,whole | chopped peanuts,peanut,allergies_10k.csv,Label phrase associated with peanut allergy risk in food-ingredient datasets.,false
ghee (butter from cow's milk),ghee | butter from cow's milk | ghee butter from cow s milk,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"macaroni product (wheat flour, semolina, durum flour, niacin, ferrous sulfate, thiamine mononitrate, riboflavin, folic acid)",macaroni product | wheat flour | semolina | durum flour | niacin | ferrous sulfate | thiamine mononitrate | riboflavin | macaroni product wheat flour semolina durum flour niacin ferrous sulfate thiamine mononitrate riboflavin folic acid,wheat,allergies_10k.csv,Label phrase associated with wheat allergy risk in food-ingredient datasets.,false
"romano cheese made from cow's milk (pasteurized part skim milk, cheese culture, salt, enzymes)",romano cheese made from cow's milk | pasteurized part skim milk | cheese culture | enzymes | romano cheese made from cow s milk pasteurized part skim milk cheese culture salt enzymes,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"ezekiel 4:9 blend: (organic sprouted wheat, organic sprouted barley, organic sprouted millet, organic sprouted lentils, organic sprouted soybeans, organic sprouted spelt)",ezekiel 4:9 blend: | organic sprouted wheat | organic sprouted barley | organic sprouted millet | organic sprouted lentils | organic sprouted soybeans | organic sprouted spelt | ezekiel 4 9 blend organic sprouted wheat organic sprouted barley organic sprouted millet organic sprouted lentils organic sprouted soybeans organic sprouted spelt,soy,allergies_10k.csv,Label phrase associated with soy allergy risk in food-ingredient datasets.,false
crab meat (crustacean shellfish),crab meat | crustacean shellfish | crab meat crustacean shellfish,shellfish,allergies_10k.csv,Label phrase associated with shellfish allergy risk in food-ingredient datasets.,false
"seasonings ingredients: soy sauce powder [soy sauce (wheat, soybeans, salt)",seasonings ingredients: soy sauce powder | soy sauce | wheat | soybeans | seasonings ingredients soy sauce powder soy sauce wheat soybeans salt,wheat,allergies_10k.csv,Label phrase associated with wheat allergy risk in food-ingredient datasets.,false
smoked baby clams,smoked-baby-clams | smokedbabyclams,shellfish,allergies_10k.csv,Label phrase associated with shellfish allergy risk in food-ingredient datasets.,false
"tortilla (wheat flour, soybean oil, less than 2% of: salt, sugar, mono- and diglycerides, corn starch, sodium bicarbonate, calcium propionate and fumaric acid [to maintain freshnes",tortilla | wheat flour | soybean oil | less than 2% of: salt | mono- | diglycerides | corn starch | sodium bicarbonate | tortilla wheat flour soybean oil less than 2 of salt sugar mono and diglycerides corn starch sodium bicarbonate calcium propionate and fumaric acid to maintain freshnes,wheat,allergies_10k.csv,Label phrase associated with wheat allergy risk in food-ingredient datasets.,false
"cooked (chicken white meat, water, modified food starch, sodium phosphate, salt, battered with: water, wheat flour, modified corn starch, yellow corn flour, salt, rendered chicken",cooked | chicken white meat | modified food starch | sodium phosphate | battered with: water | wheat flour | modified corn starch | yellow corn flour | cooked chicken white meat water modified food starch sodium phosphate salt battered with water wheat flour modified corn starch yellow corn flour salt rendered chicken,wheat,allergies_10k.csv,Label phrase associated with wheat allergy risk in food-ingredient datasets.,false
pasteurized sugared egg yolks,pasteurized-sugared-egg-yolks | pasteurizedsugaredeggyolks,egg,allergies_10k.csv,Label phrase associated with egg allergy risk in food-ingredient datasets.,false
"semi-sweet chocolate (sugar, chocolate liquor, cocoa butter, soybean lecithin emulsifieri, vanilla extract)",semi-sweet chocolate | chocolate liquor | cocoa butter | soybean lecithin emulsifieri | vanilla extract | semi sweet chocolate sugar chocolate liquor cocoa butter soybean lecithin emulsifieri vanilla extract,soy,allergies_10k.csv,Label phrase associated with soy allergy risk in food-ingredient datasets.,false
"semisweet chocolate chunk (sugar, chocolate liquor, cocoa butter, soy lecithin [an emulsifier], and vanilla extract)",semisweet chocolate chunk | chocolate liquor | cocoa butter | soy lecithin | an emulsifier | vanilla extract | semisweet chocolate chunk sugar chocolate liquor cocoa butter soy lecithin an emulsifier and vanilla extract,soy,allergies_10k.csv,Label phrase associated with soy allergy risk in food-ingredient datasets.,false
"scrambled egg (whole eggs, modified corn starch, salt, citric acid, xanthan gum)",scrambled egg | whole eggs | modified corn starch | citric acid | xanthan gum | scrambled egg whole eggs modified corn starch salt citric acid xanthan gum,egg,allergies_10k.csv,Label phrase associated with egg allergy risk in food-ingredient datasets.,false
pre-cooked organic kamut khorasan wheat,pre cooked organic kamut khorasan wheat,wheat,allergies_10k.csv,Label phrase associated with wheat allergy risk in food-ingredient datasets.,false
chestnuts,,tree_nuts,allergies_10k.csv,Label phrase associated with tree nuts allergy risk in food-ingredient datasets.,false
alaskan pollock (theragra chalcogramma),alaskan pollock | theragra chalcogramma | alaskan pollock theragra chalcogramma,fish,allergies_10k.csv,Label phrase associated with fish allergy risk in food-ingredient datasets.,false
"organic pecorino romano cheese made from sheep's milk (organic sheep's milk, salt, cheese cultures, rennet)",organic sheep's milk | cheese cultures | rennet | organic pecorino romano cheese made from sheep s milk organic sheep s milk salt cheese cultures rennet,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
organic dry roasted peanuts,organic-dry-roasted-peanuts | organicdryroastedpeanuts,peanut,allergies_10k.csv,Label phrase associated with peanut allergy risk in food-ingredient datasets.,false
"low fat ice cream (skim milk, buttermilk, cream, whey, polydextrose, maltitol, maltodextrin, milk, contains 1% or less of natural flavors, propylene glycol monoesters, mono & digly",low fat ice cream | skim milk | buttermilk | cream | whey | polydextrose | maltitol | maltodextrin | low fat ice cream skim milk buttermilk cream whey polydextrose maltitol maltodextrin milk contains 1 or less of natural flavors propylene glycol monoesters mono digly,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"pasta and vegetables: pasta (water, durum semolina [wheat], nacin, ferrous sulfate [iron], thiamine mononitrate, riboflavin, folic acid)",pasta | vegetables: pasta | durum semolina | wheat | nacin | ferrous sulfate | iron | thiamine mononitrate | pasta and vegetables pasta water durum semolina wheat nacin ferrous sulfate iron thiamine mononitrate riboflavin folic acid,wheat,allergies_10k.csv,Label phrase associated with wheat allergy risk in food-ingredient datasets.,false
"filling (swiss cheese [pasteurized milk, cheese cultures, salt, enzymes], smoked ham no nitrates or nitrites added except for those naturally occurring in cultured celery and cherr",filling | swiss cheese | pasteurized milk | cheese cultures | enzymes | cherr | filling swiss cheese pasteurized milk cheese cultures salt enzymes smoked ham no nitrates or nitrites added except for those naturally occurring in cultured celery and cherr,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
organic milk butter,organic-milk-butter | organicmilkbutter,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"pickle relish (pickles, high fructose corn syrup, corn syrup, distilled vinegar, salt, red bell pepper, mustard seed, xanthan gum, natural spice flavors, calcium disodium edta)",pickle relish | pickles | high fructose corn syrup | corn syrup | distilled vinegar | red bell pepper | mustard seed | xanthan gum | pickle relish pickles high fructose corn syrup corn syrup distilled vinegar salt red bell pepper mustard seed xanthan gum natural spice flavors calcium disodium edta,mustard,allergies_10k.csv,Label phrase associated with mustard allergy risk in food-ingredient datasets.,false
spread: soybean oil,spread soybean oil,soy,allergies_10k.csv,Label phrase associated with soy allergy risk in food-ingredient datasets.,false
"folic acid), high fructose corn syrup, contains less than 2% salt, dehydrated onion, potassium chloride, natural flavor, food starch-modified, citric acid, enzyme modified cheddar",folic acid | high fructose corn syrup | contains less than 2% salt | dehydrated onion | potassium chloride | natural flavor | food starch-modified | citric acid | folic acid high fructose corn syrup contains less than 2 salt dehydrated onion potassium chloride natural flavor food starch modified citric acid enzyme modified cheddar,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
sulfur dioxide (for color retention),sulfur dioxide | for color retention | sulfur dioxide for color retention,sulphites,allergies_10k.csv,Label phrase associated with sulphites allergy risk in food-ingredient datasets.,false
"sodium bicarbonate), soy lecithin (emulsifier), calcium carbonate, egg whites, salt, reduced iron, niacinamide, vitamin a palmitate, riboflavin (vitamin b2), pyridoxine hydrochlori",sodium bicarbonate | soy lecithin | emulsifier | calcium carbonate | egg whites | reduced iron | niacinamide | vitamin a palmitate | sodium bicarbonate soy lecithin emulsifier calcium carbonate egg whites salt reduced iron niacinamide vitamin a palmitate riboflavin vitamin b2 pyridoxine hydrochlori,egg,allergies_10k.csv,Label phrase associated with egg allergy risk in food-ingredient datasets.,false
